TIME,LAT,LONG,VAL
14.8,36.07303868,-79.77606141,150
14.9,36.07303864,-79.77606139,152
15,36.07303859,-79.77606134,153
15.1,36.07303853,-79.7760613,154
15.2,36.07303848,-79.77606124,156
15.3,36.07303841,-79.77606115,157
15.4,36.07303833,-79.77606105,164
15.5,36.07303825,-79.77606092,163
15.6,36.07303815,-79.77606077,162
15.7,36.07303803,-79.77606058,161
15.8,36.0730379,-79.77606038,160
15.9,36.07303778,-79.77606018,159
16,36.07303766,-79.77605999,158
16.1,36.07303757,-79.77605984,156
16.2,36.07303751,-79.77605972,153
16.3,36.07303746,-79.77605965,151
16.4,36.07303744,-79.7760596,148
16.5,36.07303743,-79.77605959,147
16.6,36.07303744,-79.7760596,146
16.7,36.07303745,-79.77605961,145
16.8,36.07303746,-79.77605962,145
16.9,36.07303746,-79.77605964,144
17,36.07303747,-79.77605964,145
17.1,36.07303747,-79.77605964,154
17.2,36.07303747,-79.77605964,157
17.3,36.07303747,-79.77605964,158
17.4,36.07303747,-79.77605964,159
17.5,36.07303747,-79.77605964,161
17.6,36.07303747,-79.77605964,162
17.7,36.07303747,-79.77605964,163
17.8,36.07303747,-79.77605964,163
17.9,36.07303747,-79.77605964,164
18,36.07303747,-79.77605964,163
18.1,36.07303747,-79.77605964,163
18.2,36.07303747,-79.77605964,162
18.3,36.07303747,-79.77605964,161
18.4,36.07303747,-79.77605964,160
18.5,36.07303747,-79.77605964,159
18.6,36.07303747,-79.77605964,158
18.7,36.07303747,-79.77605964,155
18.8,36.07303747,-79.77605964,143
18.9,36.07303747,-79.77605964,144
19,36.07303747,-79.77605964,144
19.1,36.07303747,-79.77605964,145
19.2,36.07303747,-79.77605964,146
19.3,36.07303747,-79.77605964,147
19.4,36.07303747,-79.77605964,148
19.5,36.07303747,-79.77605964,150
19.6,36.07303747,-79.77605964,151
19.7,36.07303747,-79.77605964,153
19.8,36.07303747,-79.77605964,155
19.9,36.07303746,-79.77605964,157
20,36.07303747,-79.77605964,159
20.1,36.07303747,-79.77605964,160
20.2,36.07303748,-79.77605964,161
20.3,36.07303749,-79.77605965,162
20.4,36.07303749,-79.77605965,163
20.5,36.07303749,-79.77605965,159
20.6,36.07303748,-79.77605965,158
20.7,36.07303744,-79.77605965,156
20.8,36.07303738,-79.77605963,154
20.9,36.07303729,-79.77605961,152
21,36.07303718,-79.77605956,150
21.1,36.07303705,-79.77605949,147
21.2,36.0730369,-79.7760594,146
21.3,36.07303675,-79.77605929,146
21.4,36.07303659,-79.77605915,145
21.5,36.07303643,-79.77605901,145
21.6,36.07303629,-79.77605886,144
21.7,36.07303615,-79.77605872,145
21.8,36.07303601,-79.77605857,145
21.9,36.07303588,-79.77605843,147
22,36.07303576,-79.77605829,148
22.1,36.07303565,-79.77605815,149
22.2,36.07303556,-79.77605801,149
22.3,36.07303547,-79.77605787,163
22.4,36.07303539,-79.77605773,163
22.5,36.07303533,-79.77605758,163
22.6,36.07303527,-79.77605743,164
22.7,36.07303523,-79.77605728,164
22.8,36.07303519,-79.77605713,164
22.9,36.07303517,-79.77605698,163
23,36.07303515,-79.77605683,162
23.1,36.07303513,-79.77605668,162
23.2,36.07303512,-79.77605654,161
23.3,36.0730351,-79.77605639,160
23.4,36.07303508,-79.77605624,159
23.5,36.07303507,-79.77605609,158
23.6,36.07303506,-79.77605593,156
23.7,36.07303506,-79.77605576,154
23.8,36.07303507,-79.77605559,153
23.9,36.07303508,-79.77605543,151
24,36.07303509,-79.77605529,144
24.1,36.07303511,-79.77605517,145
24.2,36.07303511,-79.77605509,146
24.3,36.07303511,-79.77605503,147
24.4,36.07303509,-79.77605499,148
24.5,36.07303507,-79.77605495,149
24.6,36.07303504,-79.77605492,150
24.7,36.07303501,-79.77605488,151
24.8,36.07303498,-79.77605484,152
24.9,36.07303494,-79.7760548,154
25,36.07303491,-79.77605475,157
25.1,36.07303487,-79.7760547,158
25.2,36.07303484,-79.77605465,159
25.3,36.07303481,-79.7760546,161
25.4,36.07303479,-79.77605455,162
25.5,36.07303478,-79.7760545,162
25.6,36.07303478,-79.77605445,162
25.7,36.07303479,-79.77605441,159
25.8,36.07303481,-79.77605436,150
25.9,36.07303482,-79.77605431,149
26,36.07303483,-79.77605426,149
26.1,36.07303482,-79.77605426,148
26.2,36.07303479,-79.77605433,147
26.3,36.07303473,-79.77605452,147
26.4,36.07303463,-79.77605489,146
26.5,36.07303449,-79.7760555,146
26.6,36.0730343,-79.77605645,145
26.7,36.07303406,-79.77605775,145
26.8,36.0730338,-79.77605939,144
26.9,36.07303351,-79.77606136,145
27,36.07303322,-79.77606365,145
27.1,36.07303295,-79.7760662,145
27.2,36.07303273,-79.77606882,145
27.3,36.07303256,-79.77607146,146
27.4,36.07303246,-79.77607404,156
27.5,36.07303243,-79.7760765,157
27.6,36.07303251,-79.77607878,158
27.7,36.0730327,-79.77608093,159
27.8,36.07303299,-79.77608297,160
27.9,36.07303342,-79.77608491,160
28,36.073034,-79.77608679,161
28.1,36.07303479,-79.7760886,162
28.2,36.07303573,-79.77609032,162
28.3,36.07303682,-79.77609196,163
28.4,36.07303805,-79.77609349,163
28.5,36.07303941,-79.7760949,163
28.6,36.07304087,-79.77609617,163
28.7,36.0730424,-79.77609737,163
28.8,36.07304397,-79.77609852,162
28.9,36.07304558,-79.77609965,162
29,36.07304721,-79.77610077,161
29.1,36.07304885,-79.77610189,152
29.2,36.07305046,-79.77610299,151
29.3,36.07305205,-79.77610402,150
29.4,36.07305362,-79.77610495,148
29.5,36.07305517,-79.77610574,147
29.6,36.07305673,-79.7761063,145
29.7,36.07305831,-79.77610665,145
29.8,36.07305992,-79.77610678,144
29.9,36.07306158,-79.77610673,144
30,36.0730633,-79.77610652,144
30.1,36.07306507,-79.77610623,145
30.2,36.07306688,-79.77610599,146
30.3,36.07306871,-79.77610585,146
30.4,36.07307057,-79.77610584,148
30.5,36.07307247,-79.77610602,149
30.6,36.0730744,-79.77610638,150
30.7,36.07307637,-79.7761068,151
30.8,36.07307836,-79.77610722,164
30.9,36.07308037,-79.77610758,164
